id,id_controle_contrato,entidade,contrato_numero,contrato_data_inicio,contrato_data_termino,contrato_data_assinatura,area,fornecedor_cnpj,fornecedor_razao_social,criado_em,atualizado_em,empresa_id
25353,3433,HECAD,CTP29.2026.MAI.03162,2026-09-03 00:00:00-03:00,2029-09-02 23:59:59-03:00,2026-09-03 00:00:00-03:00, OPERAÇÕES,04992697000185,NOVA RENKO INDUSTRIAL LTDA,2026-09-08 00:17:10.647270-03:00,2026-09-08 00:17:10.647271-03:00,3
25354,2523,HECAD,CTS29.2024.SET.00844,2026-09-05 00:00:00-03:00,2027-09-04 23:59:59-03:00,2026-08-31 00:00:00-03:00,ACOLHIMENTO,12685529000175,ELEITUS UNIFORMES LTDA,2026-09-08 00:17:10.647272-03:00,2026-09-08 00:17:10.647272-03:00,3
25505,3312,HRCAF,CTS87.2026.MAR.00265,2026-06-17 00:00:00-03:00,2027-06-16 23:59:59-03:00,2026-06-17 00:00:00-03:00,INFORMÁTICA,21388231000194,NOXTEC SERVICOS LTDA,2026-09-08 00:31:20.738881-03:00,2026-09-08 00:31:20.738887-03:00,
25506,3325,HRCAF,CTS87.2026.MAI.00510,2026-06-30 00:00:00-03:00,2027-06-29 23:59:59-03:00,2026-06-30 00:00:00-03:00,PLANEJAMENTO -  AGIR,16106178000151,BR GAAP CORPORATION TECNOLOGIA DA INFORMACAO LTDA,2026-09-08 00:31:20.738888-03:00,2026-09-08 00:31:20.738888-03:00,
25507,3503,HRCAF,87.2026.00588.10,2026-06-19 17:03:38.523000-03:00,2029-06-19 23:59:59-03:00,2026-09-03 21:11:27.270000-03:00,OPERAÇÕES,57633815000125,LEBLON HOSPITALAR LTDA,2026-09-08 00:31:20.738889-03:00,2026-09-08 00:31:20.738889-03:00,
25508,3504,HRCAF,87.2026.00588.11,2026-06-19 17:03:38.523000-03:00,2029-06-19 23:59:59-03:00,2026-09-03 21:11:27.270000-03:00,OPERAÇÕES,58686636000119,LBM INDÚSTRIA E COMÉRCIO LTDA,2026-09-08 00:31:20.738890-03:00,2026-09-08 00:31:20.738891-03:00,
25509,3289,HRCAF,CTS87.2026.MAR.00240,2026-06-16 00:00:00-03:00,2027-06-15 23:59:59-03:00,2026-06-16 00:00:00-03:00,RECURSOS HUMANOS,26401688000105,SWILE DO BRASIL S.A.,2026-09-08 00:31:20.738891-03:00,2026-09-08 00:31:20.738892-03:00,
25510,3293,HRCAF,CTS87.2026.JAN.00102,2026-06-16 00:00:00-03:00,2027-06-15 23:59:59-03:00,2026-06-16 00:00:00-03:00,SESMT,33061797000196,CLÍNICA MÉDICA SOCORRITO LTDA,2026-09-08 00:31:20.738893-03:00,2026-09-08 00:31:20.738893-03:00,
25511,3294,HRCAF,CTS87.2026.MAR.00291,2026-06-09 00:00:00-03:00,2027-06-08 23:59:59-03:00,2026-06-09 00:00:00-03:00,OPERAÇÕES,01615998000100,CONAGUA AMBIENTAL LTDA,2026-09-08 00:31:20.738894-03:00,2026-09-08 00:31:20.738894-03:00,
25512,3413,HRCAF,87.2026.00527.8,2026-06-08 15:51:35.197000-03:00,2028-06-08 23:59:59-03:00,2026-08-04 17:10:42.620000-03:00,OPERAÇÕES,48727957000160,UNICA LOCAÇÕES E SERVIÇOS LTDA,2026-09-08 00:31:20.738895-03:00,2026-09-08 00:31:20.738896-03:00,
25513,3261,HRCAF,CTS87.2025.DEZ.00004,2026-06-15 00:00:00-03:00,2027-06-14 23:59:59-03:00,2026-06-15 00:00:00-03:00,INFORMÁTICA,25452912000125,SEEG FIBRAS TELECOMUNICACOES LTDA,2026-09-08 00:31:20.738896-03:00,2026-09-08 00:31:20.738897-03:00,
25514,3351,HRCAF,CTS87.2026.MAR.00286,2026-07-22 00:00:00-03:00,2029-07-21 23:59:59-03:00,2026-07-22 00:00:00-03:00,OPERAÇÕES,14147098000119,SANCRISTO COLETA DE RESÍDUOS LTDA,2026-09-08 00:31:20.738898-03:00,2026-09-08 00:31:20.738898-03:00,
25515,3034,HRCAF,CTS87.2026.FEV.00126,2026-08-15 00:00:00-03:00,2027-02-14 23:59:59-03:00,2026-08-13 00:00:00-03:00,ASSISTENCIAL,20632962000170,PED SERVICO DE PEDIATRIA S/S LTDA,2026-09-08 00:31:20.738899-03:00,2026-09-08 00:31:20.738900-03:00,
25516,3321,HRCAF,CTS87.2026.ABR.00409,2026-08-15 00:00:00-03:00,2027-08-14 23:59:59-03:00,2026-08-15 00:00:00-03:00,OPERAÇÕES,02696439000126,KBF SERVICOS QUIMICOS LTDA,2026-09-08 00:31:20.738900-03:00,2026-09-08 00:31:20.738901-03:00,
25517,3388,HRCAF,CTS87.2026.MAR.00299,2026-08-18 00:00:00-03:00,2029-08-17 23:59:59-03:00,2026-08-18 00:00:00-03:00,INFRAESTRUTURA - EQUIPAMENTOS,15706824000159,COGERA SERVICOS ELETRICOS LTDA,2026-09-08 00:31:20.738902-03:00,2026-09-08 00:31:20.738902-03:00,
25518,3349,HRCAF,CTS87.2026.MAR.00287,2026-08-11 00:00:00-03:00,2027-08-10 23:59:59-03:00,2026-08-11 00:00:00-03:00,OPERAÇÕES,02987794000154,VICTORIA DESINSETIZACAO E LIMPEZA LTDA,2026-09-08 00:31:20.738903-03:00,2026-09-08 00:31:20.738904-03:00,
25519,3423,HRCAF,CTS87.2026.JUN.00571,2026-08-26 00:00:00-03:00,2029-08-25 23:59:59-03:00,2026-08-26 00:00:00-03:00,OPERAÇÕES,31394635000144,KRQU4TRO SOLUCOES EM SERVICOS LTDA,2026-09-08 00:31:20.738904-03:00,2026-09-08 00:31:20.738905-03:00,
