id,id_controle_contrato,id_controle_catalogo,entidade,codigo,nome,data_inicio,data_termino,status,valor_estimado,valor_consumido,percentual_consumido,criado_em,atualizado_em,empresa_id
48871,2426,2945,HUGOL,CTP01.2025.FEV.01778-3,CTP01.2025.FEV.01778-3 - GYNMEDICAL DE MATERIAIS MEDICO LTDA,2025-08-05 00:00:00-03:00,2026-08-04 23:59:59-03:00,Vencido,2775.00,0.00,0.00,2026-09-08 00:08:16.294680-03:00,2026-09-08 00:08:16.294680-03:00,2
48872,2481,4552,HUGOL,CTS01.2025.ABR.02061 1° ADITIV,CTS01.2025.ABR.02061 - AGM LOG  LTDA,2026-08-14 00:00:00-03:00,2027-08-13 23:59:59-03:00,Vigente,517424.16,0.00,0.00,2026-09-08 00:08:16.294681-03:00,2026-09-08 00:08:16.294682-03:00,2
48873,2481,3054,HUGOL,CTS01.2025.ABR.02061,CTS01.2025.ABR.02061 - AGM LOG  LTDA,2025-08-14 00:00:00-03:00,2026-08-13 23:59:59-03:00,Vencido,517424.16,0.00,0.00,2026-09-08 00:08:16.294683-03:00,2026-09-08 00:08:16.294683-03:00,2
48874,2500,4510,HUGOL,20220002.01041-5  4° ADITIVO,CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO DE OPME,2026-08-26 00:00:00-03:00,2027-08-25 23:59:59-03:00,Vigente,48500.00,0.00,0.00,2026-09-08 00:08:16.294684-03:00,2026-09-08 00:08:16.294685-03:00,2
48875,2500,3251,HUGOL,20220002.01041-5-A3,CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO DE OPME,2025-08-26 00:00:00-03:00,2026-08-25 23:59:59-03:00,Vencido,48500.00,0.00,0.00,2026-09-08 00:08:16.294686-03:00,2026-09-08 00:08:16.294687-03:00,2
48876,2506,3091,HUGOL,20220002.01041-06,CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO DE OPME,2025-08-26 00:00:00-03:00,2026-08-25 23:59:59-03:00,Vencido,232896.60,0.00,0.00,2026-09-08 00:08:16.294688-03:00,2026-09-08 00:08:16.294689-03:00,2
48877,2506,4482,HUGOL,20220002.01041-6  4° ADITIVO,CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO DE OPME,2026-08-26 00:00:00-03:00,2027-08-25 23:59:59-03:00,Vigente,232896.60,0.00,0.00,2026-09-08 00:08:16.294690-03:00,2026-09-08 00:08:16.294690-03:00,2
48878,2509,3095,HUGOL,CTS01.2025.FEV.01799-R1,CTS01.2025.FEV.01799 - SEMPREPED TERAPIA INTENSIVA LTDA,2025-08-01 00:00:00-03:00,2026-07-31 23:59:59-03:00,Vencido,5232612.81,0.00,0.00,2026-09-08 00:08:16.294691-03:00,2026-09-08 00:08:16.294692-03:00,2
48879,2509,4554,HUGOL,CTS01.2025.FEV.01799 1° ADITIV,CTS01.2025.FEV.01799 - SEMPREPED TERAPIA INTENSIVA LTDA,2026-08-01 00:00:00-03:00,2027-07-31 23:59:59-03:00,Vigente,3465468.60,0.00,0.00,2026-09-08 00:08:16.294693-03:00,2026-09-08 00:08:16.294693-03:00,2
48880,2554,3174,HUGOL,CTS01.2025.FEV.01693,CTS01.2025.FEV.01693 - CUIDALLE GESTÃO EM SAÚDE,2025-08-28 00:00:00-03:00,2026-08-27 23:59:59-03:00,Vencido,13392360.00,0.00,0.00,2026-09-08 00:08:16.294694-03:00,2026-09-08 00:08:16.294695-03:00,2
48881,2554,4553,HUGOL,CTS01.2025.FEV.01693 1° ADITIV,CTS01.2025.FEV.01693 - CUIDALLE GESTÃO EM SAÚDE,2026-08-28 00:00:00-03:00,2027-08-27 23:59:59-03:00,Vigente,13392360.00,0.00,0.00,2026-09-08 00:08:16.294696-03:00,2026-09-08 00:08:16.294697-03:00,2
48882,3278,4303,HUGOL,1.2026.03303-658,CTP01.2026.JAN.03303 - MEDI-GLOBE BRASIL LTDA,2026-08-01 00:00:00-03:00,2027-07-31 23:59:59-03:00,Vigente,389900.00,0.00,0.00,2026-09-08 00:08:16.294698-03:00,2026-09-08 00:08:16.294698-03:00,2
48883,3340,4436,HUGOL,CTP01.2026.JAN.03265,CTP01.2026.JAN.03265 - SCITECH PRODUTOS MÉDICOS S.A,2026-08-01 00:00:00-03:00,2027-07-31 23:59:59-03:00,Vigente,2315250.00,0.00,0.00,2026-09-08 00:08:16.294699-03:00,2026-09-08 00:08:16.294700-03:00,2
48884,3341,4437,HUGOL,CTP01.2026.JAN.03265,CTP01.2026.JAN.03265 - GYNMEDICAL DE MATERIAIS MEDICO LTDA,2026-08-01 00:00:00-03:00,2027-07-31 23:59:59-03:00,Vigente,20250.00,0.00,0.00,2026-09-08 00:08:16.294701-03:00,2026-09-08 00:08:16.294701-03:00,2
48885,3342,4438,HUGOL,CTP01.2026.JAN.03265,CTP01.2026.JAN.03265 - BASI SAUDE PRODUTOS MEDICOS LTDA,2026-08-01 00:00:00-03:00,2027-07-31 23:59:59-03:00,Vigente,70400.00,0.00,0.00,2026-09-08 00:08:16.294702-03:00,2026-09-08 00:08:16.294703-03:00,2
48886,3386,4525,HUGOL,CTP01.2025.AGO.02644-1,CTP01.2025.AGO.02644 - SAMTRONIC INDUSTRIA E COMERCIO LTDA,2026-08-17 00:00:00-03:00,2027-08-16 23:59:59-03:00,Vigente,1679590.00,0.00,0.00,2026-09-08 00:08:16.294704-03:00,2026-09-08 00:08:16.294704-03:00,2
48887,3370,4501,HUGOL,1.2026.03471-669,CTP01.2026.MAR.03471 - ULTRA HOSPITALAR LTDA,2026-08-14 00:00:00-03:00,2027-08-13 23:59:59-03:00,Vigente,2915750.00,0.00,0.00,2026-09-08 00:08:16.294705-03:00,2026-09-08 00:08:16.294706-03:00,2
48888,3374,4505,HUGOL,CTS01.2026.MAI.04042,CTS01.2026.MAI.04042 - ISTI INFORMATICA & SERVICOS LTDA,2026-08-04 00:00:00-03:00,2029-08-03 23:59:59-03:00,Vigente,308016.00,0.00,0.00,2026-09-08 00:08:16.294707-03:00,2026-09-08 00:08:16.294707-03:00,2
48889,2542,3158,HUGOL,1.2025.02135-595,CTS01.2025.MAI.02135 - LINQ TELECOMUNICAÇOES LTDA,2025-08-10 00:00:00-03:00,2026-08-09 23:59:59-03:00,Vencido,9480.00,0.00,0.00,2026-09-08 00:08:16.294708-03:00,2026-09-08 00:08:16.294709-03:00,2
48890,2542,4362,HUGOL,CTS01.2025.MAI.02135-1 1° ADIT,CTS01.2025.MAI.02135 - LINQ TELECOMUNICAÇOES LTDA,2026-08-10 00:00:00-03:00,2027-08-09 23:59:59-03:00,Vigente,9480.00,0.00,0.00,2026-09-08 00:08:16.294710-03:00,2026-09-08 00:08:16.294711-03:00,2
48891,66,68,HUGOL,20220002.01457-,"CONTRATO PARA FORNECIMENTO CONTÍNUO DE MEIAS ELÁSTICAS ANTI-EMBOLISMO, COM COMODATO DE SISTEMA DE CO",2022-09-08 00:00:00-03:00,2023-09-07 00:00:00-03:00,Vencido,1068000.00,0.00,0.00,2026-09-08 00:08:16.294711-03:00,2026-09-08 00:08:16.294712-03:00,2
48892,66,4693,HUGOL,20220002.01457-2 4° ADITIVO,CONTRATO DE FORNECIMENTO CONTÍNUO DE MEIAS ELÁSTICAS ANTI-EMBOLISMO,2026-09-08 00:00:00-03:00,2027-09-07 23:59:59-03:00,Vigente,1068000.00,0.00,0.00,2026-09-08 00:08:16.294713-03:00,2026-09-08 00:08:16.294714-03:00,2
48893,66,1320,HUGOL,20220002.01457-A1,"CONTRATO PARA FORNECIMENTO CONTÍNUO DE MEIAS ELÁSTICAS ANTI-EMBOLISMO, COM COMODATO DE SISTEMA DE CO",2023-09-08 00:00:00-03:00,2024-09-07 23:59:59-03:00,Vencido,1068000.00,0.00,0.00,2026-09-08 00:08:16.294715-03:00,2026-09-08 00:08:16.294716-03:00,2
48894,66,1321,HUGOL,20220002.01457-,CONTRATO DE FORNECIMENTO CONTÍNUO DE MEIAS ELÁSTICAS ANTI-EMBOLISMO,2024-09-08 00:00:00-03:00,2025-09-07 23:59:59-03:00,Vencido,1068000.00,0.00,0.00,2026-09-08 00:08:16.294717-03:00,2026-09-08 00:08:16.294717-03:00,2
48895,66,3265,HUGOL,20220002.01457-A3,CONTRATO DE FORNECIMENTO CONTÍNUO DE MEIAS ELÁSTICAS ANTI-EMBOLISMO,2025-09-08 00:00:00-03:00,2026-09-07 23:59:59-03:00,Vencido,1068000.00,0.00,0.00,2026-09-08 00:08:16.294718-03:00,2026-09-08 00:08:16.294719-03:00,2
48896,433,2246,HUGOL,1.2023.00041-93A1,CTS01.2023.026.00041 - VS TECNOLOGIA E AUTOMACAO,2024-09-01 00:00:00-03:00,2025-08-31 23:59:59-03:00,Vencido,64000.00,0.00,0.00,2026-09-08 00:08:16.294720-03:00,2026-09-08 00:08:16.294720-03:00,2
48897,433,4625,HUGOL,CTS01.2023.000.00041 3° ADITIV,CTS01.2023.026.00041 - VS TECNOLOGIA E AUTOMACAO,2026-09-01 00:00:00-03:00,2027-08-31 23:59:59-03:00,Vigente,64000.00,0.00,0.00,2026-09-08 00:08:16.294722-03:00,2026-09-08 00:08:16.294722-03:00,2
48898,433,454,HUGOL,1.2023.00041-93,CTS01.2023.026.00041 - VS TECNOLOGIA E AUTOMACAO,2023-09-01 00:00:00-03:00,2024-08-31 23:59:59-03:00,Vencido,64000.00,0.00,0.00,2026-09-08 00:08:16.294723-03:00,2026-09-08 00:08:16.294724-03:00,2
48899,433,3249,HUGOL,CTS01.2023.000.00041-A2,CTS01.2023.026.00041 - VS TECNOLOGIA E AUTOMACAO,2025-09-01 00:00:00-03:00,2026-08-31 23:59:59-03:00,Vencido,64000.00,0.00,0.00,2026-09-08 00:08:16.294725-03:00,2026-09-08 00:08:16.294726-03:00,2
48900,459,3286,HUGOL,CTP01.2023.JUL.00092-A2,CTP01.2023.JUL.00092 - PAPELARIA TRIBUTARIA LTDA,2025-09-14 00:00:00-03:00,2026-09-13 23:59:59-03:00,Vigente,231000.00,0.00,0.00,2026-09-08 00:08:16.294727-03:00,2026-09-08 00:08:16.294727-03:00,2
48901,459,4709,HUGOL,CTP01.2023.JUL.00092 3° ADITIV,CTP01.2023.JUL.00092 - PAPELARIA TRIBUTARIA LTDA,2026-09-14 00:00:00-03:00,2027-09-13 23:59:59-03:00,Previsto,176000.00,0.00,0.00,2026-09-08 00:08:16.294728-03:00,2026-09-08 00:08:16.294729-03:00,2
48902,459,483,HUGOL,1.2023.00092-99,CTP01.2023.JUL.00092 - PAPELARIA TRIBUTARIA LTDA,2023-09-14 00:00:00-03:00,2024-09-13 23:59:59-03:00,Vencido,231000.00,0.00,0.00,2026-09-08 00:08:16.294730-03:00,2026-09-08 00:08:16.294731-03:00,2
48903,459,2319,HUGOL,1.2023.00092-99A1,CTP01.2023.JUL.00092 - PAPELARIA TRIBUTARIA LTDA,2024-09-14 00:00:00-03:00,2025-09-13 23:59:59-03:00,Vencido,231000.00,0.00,0.00,2026-09-08 00:08:16.294731-03:00,2026-09-08 00:08:16.294732-03:00,2
48904,466,489,HUGOL,CTS01.2023.JUN.00069-A1,CTS01.2023.JUN.00069 - INSTITUTO SONDAGE LTDA,2023-09-12 00:00:00-03:00,2026-09-11 23:59:59-03:00,Vigente,1043406.00,0.00,0.00,2026-09-08 00:08:16.294733-03:00,2026-09-08 00:08:16.294733-03:00,2
49453,3101,4722,HRCAF,CTS87.2026.MAR.00257 1° ADITIV,CTS87.2026.MAR.00257 - ARRUDA SERVICOS HOSPITALARES LTDA,2026-09-10 00:00:00-03:00,2027-03-09 23:59:59-03:00,Previsto,2041543.50,0.00,0.00,2026-09-08 00:31:20.836613-03:00,2026-09-08 00:31:20.836613-03:00,
49454,3108,3968,HRCAF,CTS87.2026.MAR.00261,CTS87.2026.MAR.00261 - MEDCLIN SERVICOS MEDICOS LTDA,2026-03-16 00:00:00-03:00,2026-09-15 23:59:59-03:00,Vigente,3572738.28,0.00,0.00,2026-09-08 00:31:20.836614-03:00,2026-09-08 00:31:20.836615-03:00,
49455,3108,4724,HRCAF,CTS87.2026.MAR.00261 1° ADITIV,CTS87.2026.MAR.00261 - MEDCLIN SERVICOS MEDICOS LTDA,2026-09-16 00:00:00-03:00,2027-03-15 23:59:59-03:00,Previsto,3572738.28,0.00,0.00,2026-09-08 00:31:20.836616-03:00,2026-09-08 00:31:20.836616-03:00,
49456,3109,3969,HRCAF,87.2026.00256-12,CTS87.2026.MAR.00256 - MULTIMED SERVICOS MEDICOS LTDA,2026-03-17 00:00:00-03:00,2026-09-16 23:59:59-03:00,Vigente,3125700.00,0.00,0.00,2026-09-08 00:31:20.836617-03:00,2026-09-08 00:31:20.836618-03:00,
49457,3109,4679,HRCAF,87.2026.00256 (1 ADITIVO),CTS87.2026.MAR.00256 - MULTIMED SERVICOS MEDICOS LTDA,2026-09-17 00:00:00-03:00,2027-03-16 23:59:59-03:00,Previsto,3125700.00,0.00,0.00,2026-09-08 00:31:20.836619-03:00,2026-09-08 00:31:20.836620-03:00,
49458,3111,4699,HRCAF,CTS87.2026.MAR.00252-1ADITIVO,CTS87.2026.MAR.00252 - NEOMED ATENDIMENTO HOSPITALAR HOLDING LTDA,2026-09-12 00:00:00-03:00,2027-03-12 23:59:59-03:00,Previsto,682721.76,0.00,0.00,2026-09-08 00:31:20.836621-03:00,2026-09-08 00:31:20.836621-03:00,
49459,3111,3971,HRCAF,CTS87.2026.MAR.00252,CTS87.2026.MAR.00252 - NEOMED ATENDIMENTO HOSPITALAR HOLDING LTDA,2026-03-13 00:00:00-03:00,2026-09-12 23:59:59-03:00,Vigente,682721.76,0.00,0.00,2026-09-08 00:31:20.836622-03:00,2026-09-08 00:31:20.836623-03:00,
49460,3114,3975,HRCAF,CTS87.2026.MAR.00263,BARROS SERVICOS DE CIRURGIA GERAL LTDA,2026-03-17 00:00:00-03:00,2026-09-16 23:59:59-03:00,Vigente,458967.00,0.00,0.00,2026-09-08 00:31:20.836624-03:00,2026-09-08 00:31:20.836624-03:00,
