id,id_controle_catalogo,id_controle_contrato,entidade_codigo,entidade_sigla,entidade_razao_social,contrato_numero,contrato_objeto,contrato_gestor,contrato_equipe,contrato_data_assinatura,fornecedor_cnpj,fornecedor_razao_social,catalogo_codigo,catalogo_aprovacao,catalogo_status,catalogo_publicado,catalogo_data_aprovacao,catalogo_data_publicacao,catalogo_data_inicio,catalogo_data_termino,item_data_validade,item_codigo,item_descricao,item_codigo_corporativo,item_tipo,unidade_medida_descricao,valor_unitario,qtde_estimada,qtde_consumida,valor_estimado,valor_consumido,percentual_consumido,numero_processo_origem,inativo,usuario_nome,forma_pagamento_descricao,criado_em,atualizado_em,empresa_id
13039,4578,3414,30,HRDIII,HOSPITAL REGIONAL DE DOURADOS ,30.2026.01390.3,"<p>Trata-se de contrata&#231;&#227;o de empresa para loca&#231;&#227;o de equipamentos de limpeza de pisos com fornecimento de pe&#231;as, assist&#234;ncia t&#233;cnica e treinamento.</p>",DIEGO BATISTA DA SILVA E SOUZA,BÁRBARA ANDRADE MACHADO,2026-08-04 17:35:53.760000-03:00,48727957000160,UNICA LOCAÇÕES E SERVIÇOS LTDA,30.2026.01390-98,Aprovado,Vigente,False,2026-08-07 10:37:11.353000-03:00,,2026-08-04 00:00:00-03:00,2027-08-04 23:59:59-03:00,2027-08-04 23:59:59-03:00,11106S,SERV LOCACAO LAVADORA DE PISO COMPACTA A BATERIA - 350 MM,11106S,SERVIÇO,UNIDADE,1542.50,48.00,0.00,74040.00,0.00,0.00,CTS30.2026.JUN.01390,False,STEFANY CRISTINA PEREIRA DA SILVA,30 DIAS,2026-09-08 00:01:26.228283-03:00,2026-09-08 00:01:26.228283-03:00,9
13040,4578,3414,30,HRDIII,HOSPITAL REGIONAL DE DOURADOS ,30.2026.01390.3,"<p>Trata-se de contrata&#231;&#227;o de empresa para loca&#231;&#227;o de equipamentos de limpeza de pisos com fornecimento de pe&#231;as, assist&#234;ncia t&#233;cnica e treinamento.</p>",DIEGO BATISTA DA SILVA E SOUZA,BÁRBARA ANDRADE MACHADO,2026-08-04 17:35:53.760000-03:00,48727957000160,UNICA LOCAÇÕES E SERVIÇOS LTDA,30.2026.01390-98,Aprovado,Vigente,False,2026-08-07 10:37:11.353000-03:00,,2026-08-04 00:00:00-03:00,2027-08-04 23:59:59-03:00,2027-08-04 23:59:59-03:00,11107S,SERV LOCACAO KIT SOPRADOR A BATERIA 40V CARREGADOR TURBO,11107S,SERVIÇO,UNIDADE,748.60,48.00,0.00,35932.80,0.00,0.00,CTS30.2026.JUN.01390,False,STEFANY CRISTINA PEREIRA DA SILVA,30 DIAS,2026-09-08 00:01:26.228284-03:00,2026-09-08 00:01:26.228284-03:00,9
13041,4578,3414,30,HRDIII,HOSPITAL REGIONAL DE DOURADOS ,30.2026.01390.3,"<p>Trata-se de contrata&#231;&#227;o de empresa para loca&#231;&#227;o de equipamentos de limpeza de pisos com fornecimento de pe&#231;as, assist&#234;ncia t&#233;cnica e treinamento.</p>",DIEGO BATISTA DA SILVA E SOUZA,BÁRBARA ANDRADE MACHADO,2026-08-04 17:35:53.760000-03:00,48727957000160,UNICA LOCAÇÕES E SERVIÇOS LTDA,30.2026.01390-98,Aprovado,Vigente,False,2026-08-07 10:37:11.353000-03:00,,2026-08-04 00:00:00-03:00,2027-08-04 23:59:59-03:00,2027-08-04 23:59:59-03:00,11111S,SERV LOCACAO DE ENCERADEIRA DE BAIXA E ALTA ROTACAO,11111S,SERVIÇO,UNIDADE,450.00,96.00,0.00,43200.00,0.00,0.00,CTS30.2026.JUN.01390,False,STEFANY CRISTINA PEREIRA DA SILVA,30 DIAS,2026-09-08 00:01:26.228285-03:00,2026-09-08 00:01:26.228286-03:00,9
13042,4578,3414,30,HRDIII,HOSPITAL REGIONAL DE DOURADOS ,30.2026.01390.3,"<p>Trata-se de contrata&#231;&#227;o de empresa para loca&#231;&#227;o de equipamentos de limpeza de pisos com fornecimento de pe&#231;as, assist&#234;ncia t&#233;cnica e treinamento.</p>",DIEGO BATISTA DA SILVA E SOUZA,BÁRBARA ANDRADE MACHADO,2026-08-04 17:35:53.760000-03:00,48727957000160,UNICA LOCAÇÕES E SERVIÇOS LTDA,30.2026.01390-98,Aprovado,Vigente,False,2026-08-07 10:37:11.353000-03:00,,2026-08-04 00:00:00-03:00,2027-08-04 23:59:59-03:00,2027-08-04 23:59:59-03:00,11222S,SERV LOCACAO D ASPIRADOR LAVADORA E EXTRATORA D CARP E ESTOF,11222S,SERVIÇO,UNIDADE,760.00,48.00,0.00,36480.00,0.00,0.00,CTS30.2026.JUN.01390,False,STEFANY CRISTINA PEREIRA DA SILVA,30 DIAS,2026-09-08 00:01:26.228286-03:00,2026-09-08 00:01:26.228287-03:00,9
13043,4587,3422,30,HRDIII,HOSPITAL REGIONAL DE DOURADOS ,CTS30.202.JUN.01362,"<span style=""font-family: Aptos; font-size: 16px; white-space-collapse: preserve;"">Trata-se de contrata&#231;&#227;o para loca&#231;&#227;o de carros multifuncionais e carros gari com fornecimento de assist&#234;ncia t&#233;cnica, pe&#231;as e suporte cont&#237;nuo</span>",JANNYS WINNDEY CAMARANO SILVA BALTAZAR,"BÁRBARA ANDRADE MACHADO, JULIANO CARVALHO PANÃO",2026-08-26 00:00:00-03:00,31394635000144,KRQU4TRO SOLUCOES EM SERVICOS LTDA,CTS30.2026.JUN.01362,Aprovado,Vigente,True,2026-08-12 22:28:44.123000-03:00,2026-08-26 19:17:25.093000-03:00,2026-08-26 00:00:00-03:00,2029-08-25 23:59:59-03:00,2029-08-25 00:00:00-03:00,11109S,SERV LOCACAO CARRO MULTIFUNCIONAL FECHADO P SACO D LIXO 90L,11109S,SERVIÇO,UNIDADE,260.95,936.00,0.00,244249.20,0.00,0.00,CTS30.2026.JUN.01362,False,CARLA AMARAL TROMBETA CORTES,30 DIAS,2026-09-08 00:01:26.232899-03:00,2026-09-08 00:01:26.232904-03:00,9
13044,4612,3439,30,HRDIII,HOSPITAL REGIONAL DE DOURADOS ,CTS30.2026.MAI.01282,"<p style=""font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-alternates: normal; font-variant- normal; font-variant-emoji: normal;""><span style=""font-family: Arial, sans-serif; font-size: 12pt; text-align: justify;"">Fornecimento de aplicativo
m&#243;vel do tipo SaaS (Software como Servi&#231;o) para gest&#227;o e monitoramento do
servi&#231;o de transposi&#231;&#227;o de pacientes realizados pelos colaboradores maqueiros,
incluindo a instala&#231;&#227;o, assist&#234;ncia t&#233;cnica, suporte, manuten&#231;&#227;o e fornecimento
de 10 aparelhos celulares como comodato, sendo solicitado sob demanda da
contratante.</span></p>",PAULO RODRIGO MARCOL RIBEIRO,"TIAGO LIMBERGER, PAULO RODRIGO MARCOL RIBEIRO",2026-08-26 00:00:00-03:00,23128477000152,THIAGO SANTOS GALDERICE PEIXOTO,CTS30.2026.MAI.01282,Aprovado,Vigente,True,2026-08-14 13:13:23.063000-03:00,2026-08-28 11:31:55.760000-03:00,2026-08-26 00:00:00-03:00,2029-08-25 23:59:59-03:00,2029-08-25 23:59:59-03:00,522S,SERV DE IMPLANTACAO SETUP,522S,SERVIÇO,UNIDADE,15371.00,1.00,0.00,15371.00,0.00,0.00,CTS30.2026.MAI.01282,False,CARLA AMARAL TROMBETA CORTES,30 DIAS,2026-09-08 00:01:26.232905-03:00,2026-09-08 00:01:26.232906-03:00,9
13045,4612,3439,30,HRDIII,HOSPITAL REGIONAL DE DOURADOS ,CTS30.2026.MAI.01282,"<p style=""font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-alternates: normal; font-variant- normal; font-variant-emoji: normal;""><span style=""font-family: Arial, sans-serif; font-size: 12pt; text-align: justify;"">Fornecimento de aplicativo
m&#243;vel do tipo SaaS (Software como Servi&#231;o) para gest&#227;o e monitoramento do
servi&#231;o de transposi&#231;&#227;o de pacientes realizados pelos colaboradores maqueiros,
incluindo a instala&#231;&#227;o, assist&#234;ncia t&#233;cnica, suporte, manuten&#231;&#227;o e fornecimento
de 10 aparelhos celulares como comodato, sendo solicitado sob demanda da
contratante.</span></p>",PAULO RODRIGO MARCOL RIBEIRO,"TIAGO LIMBERGER, PAULO RODRIGO MARCOL RIBEIRO",2026-08-26 00:00:00-03:00,23128477000152,THIAGO SANTOS GALDERICE PEIXOTO,CTS30.2026.MAI.01282,Aprovado,Vigente,True,2026-08-14 13:13:23.063000-03:00,2026-08-28 11:31:55.760000-03:00,2026-08-26 00:00:00-03:00,2029-08-25 23:59:59-03:00,2029-08-25 23:59:59-03:00,10310S,SERV MOBILE DE TRANSPORTE DE PACIENTES VIA APLICATIVO,10310S,SERVIÇO,MENSALIDADE,3271.80,36.00,0.00,117784.80,0.00,0.00,CTS30.2026.MAI.01282,False,CARLA AMARAL TROMBETA CORTES,30 DIAS,2026-09-08 00:01:26.232907-03:00,2026-09-08 00:01:26.232907-03:00,9
13046,4614,3440,30,HRDIII,HOSPITAL REGIONAL DE DOURADOS ,CTP30.2026.MAI.01286,"<span id=""docs-internal-guid-6553e25c-7fff-12f1-c939-fc061bebb381""><p dir=""ltr"" style=""1.3900000000000001;0pt;8pt;""><span style=""font-size: 12pt; font-family: Aptos; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-alternates: normal; font-variant- normal; font-variant-emoji: normal; vertical-align: baseline; white-space-collapse: preserve;"">Contrata&#231;&#227;o de empresa para fornecimento de produtos qu&#237;micos para higieniza&#231;&#227;o hospitalar com diluidores em comodato.</span></p><div><span style=""font-size: 12pt; font-family: Aptos; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-alternates: normal; font-variant- normal; font-variant-emoji: normal; vertical-align: baseline; white-space-collapse: preserve;""><br /></span></div></span>",DIEGO BATISTA DA SILVA E SOUZA,DIEGO BATISTA DA SILVA E SOUZA,2026-09-03 00:00:00-03:00,04992697000185,NOVA RENKO INDUSTRIAL LTDA,CTP30.2026.MAI.01286,Aprovado,Vigente,True,2026-08-17 15:41:54.527000-03:00,2026-09-05 09:29:33.243000-03:00,2026-09-03 00:00:00-03:00,2029-09-02 23:59:59-03:00,2029-09-02 23:59:59-03:00,73086,DETERGENTE NEUTRO CONCENTRADO DE USO GERAL EM HOSPITAIS 5L,73086,ITEM,UNIDADE,43.00,2088.00,0.00,89784.00,0.00,0.00,CTP30.2026.MAI.01286,False,LUANA RODRIGUES DE SOUSA,30 DIAS,2026-09-08 00:01:26.232908-03:00,2026-09-08 00:01:26.232908-03:00,9
13047,4614,3440,30,HRDIII,HOSPITAL REGIONAL DE DOURADOS ,CTP30.2026.MAI.01286,"<span id=""docs-internal-guid-6553e25c-7fff-12f1-c939-fc061bebb381""><p dir=""ltr"" style=""1.3900000000000001;0pt;8pt;""><span style=""font-size: 12pt; font-family: Aptos; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-alternates: normal; font-variant- normal; font-variant-emoji: normal; vertical-align: baseline; white-space-collapse: preserve;"">Contrata&#231;&#227;o de empresa para fornecimento de produtos qu&#237;micos para higieniza&#231;&#227;o hospitalar com diluidores em comodato.</span></p><div><span style=""font-size: 12pt; font-family: Aptos; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-alternates: normal; font-variant- normal; font-variant-emoji: normal; vertical-align: baseline; white-space-collapse: preserve;""><br /></span></div></span>",DIEGO BATISTA DA SILVA E SOUZA,DIEGO BATISTA DA SILVA E SOUZA,2026-09-03 00:00:00-03:00,04992697000185,NOVA RENKO INDUSTRIAL LTDA,CTP30.2026.MAI.01286,Aprovado,Vigente,True,2026-08-17 15:41:54.527000-03:00,2026-09-05 09:29:33.243000-03:00,2026-09-03 00:00:00-03:00,2029-09-02 23:59:59-03:00,2029-09-02 23:59:59-03:00,73089,DETERGENTE E DESINCRUSTANTE LIMPA PEDRA E FERRUGEM 5 LT,73089,ITEM,UNIDADE,50.00,288.00,0.00,14400.00,0.00,0.00,CTP30.2026.MAI.01286,False,LUANA RODRIGUES DE SOUSA,30 DIAS,2026-09-08 00:01:26.232909-03:00,2026-09-08 00:01:26.232910-03:00,9
13048,4614,3440,30,HRDIII,HOSPITAL REGIONAL DE DOURADOS ,CTP30.2026.MAI.01286,"<span id=""docs-internal-guid-6553e25c-7fff-12f1-c939-fc061bebb381""><p dir=""ltr"" style=""1.3900000000000001;0pt;8pt;""><span style=""font-size: 12pt; font-family: Aptos; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-alternates: normal; font-variant- normal; font-variant-emoji: normal; vertical-align: baseline; white-space-collapse: preserve;"">Contrata&#231;&#227;o de empresa para fornecimento de produtos qu&#237;micos para higieniza&#231;&#227;o hospitalar com diluidores em comodato.</span></p><div><span style=""font-size: 12pt; font-family: Aptos; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-alternates: normal; font-variant- normal; font-variant-emoji: normal; vertical-align: baseline; white-space-collapse: preserve;""><br /></span></div></span>",DIEGO BATISTA DA SILVA E SOUZA,DIEGO BATISTA DA SILVA E SOUZA,2026-09-03 00:00:00-03:00,04992697000185,NOVA RENKO INDUSTRIAL LTDA,CTP30.2026.MAI.01286,Aprovado,Vigente,True,2026-08-17 15:41:54.527000-03:00,2026-09-05 09:29:33.243000-03:00,2026-09-03 00:00:00-03:00,2029-09-02 23:59:59-03:00,2029-09-02 23:59:59-03:00,73091,DETERGENTE LIMPADOR GERAL A BASE DE PEROXIDO DE HIDROGENIO,73091,ITEM,GALÃO C/ 5 LITROS,56.09,1080.00,0.00,60577.20,0.00,0.00,CTP30.2026.MAI.01286,False,LUANA RODRIGUES DE SOUSA,30 DIAS,2026-09-08 00:01:26.232910-03:00,2026-09-08 00:01:26.232911-03:00,9
